from,to,when
,,
veteran,relationship_veteran,veteran
relationship_veteran,lineOfDuty_relationship_veteran,relationship == 'Spouse' || relationship == 'Child' || relationship == 'Other family member' || relationship == 'Personal or official representative'
lineOfDuty_relationship_veteran,unmarkedGrave_lineOfDuty_relationship_veteran,lineOfDuty
unmarkedGrave_lineOfDuty_relationship_veteran,privateHeadstone_lineOfDuty_relationship_veteran,unmarkedGrave == false
privateHeadstone_lineOfDuty_relationship_veteran,verteransHeadstone,privateHeadstone
,,
lineOfDuty_relationship_veteran,honorableDischarge_lineOfDuty_relationship_veteran,lineOfDuty == false
honorableDischarge_lineOfDuty_relationship_veteran,unmarkedGrave_honorableDischarge_lineOfDuty_relationship_veteran,honorableDischarge
honorableDischarge_lineOfDuty_relationship_veteran,privateHeadstone_honorableDischarge_lineOfDuty_relationship_veteran,unmarkedGrave == false
privateHeadstone_honorableDischarge_lineOfDuty_relationship_veteran,verteransHeadstone,privateHeadstone
,,
honorableDischarge_lineOfDuty_relationship_veteran,privateCemetery_honorableDischarge_lineOfDuty_relationship_veteran,unmarkedGrave == false
privateCemetery_honorableDischarge_lineOfDuty_relationship_veteran,verteransHeadstone,privateCemetery
,,
unmarkedGrave_lineOfDuty_relationship_veteran,privateCemetery_unmarkedGrave_lineOfDuty_relationship_veteran,unmarkedGrave == false
privateCemetery_unmarkedGrave_lineOfDuty_relationship_veteran,verteransHeadstone,privateCemetery
